Date,Price
2025.01.13,"1,702.29"
2025.01.12,"1,699.24"
2025.01.11,"1,697.79"
2025.01.10,"1,695.38"
2025.01.09,"1,693.15"
2025.01.08,"1,690.07"
2025.01.07,"1,687.34"
2025.01.06,"1,683.84"
2025.01.05,"1,680.77"
2025.01.04,"1,679.44"
2025.01.03,"1,677.01"
2025.01.02,"1,674.74"
2025.01.01,"1,672.95"
2024.12.31,"1,670.85"
2024.12.30,"1,669.51"
2024.12.29,"1,668.00"
2024.12.28,"1,667.43"
2024.12.27,"1,666.66"
2024.12.26,"1,664.94"
2024.12.25,"1,663.66"
2024.12.24,"1,662.64"
2024.12.23,"1,661.13"
2024.12.22,"1,659.52"
2024.12.21,"1,658.88"
2024.12.20,"1,657.97"
2024.12.19,"1,656.28"
2024.12.18,"1,654.88"
2024.12.17,"1,653.35"
2024.12.16,"1,652.02"
2024.12.15,"1,650.27"
2024.12.14,"1,649.88"
2024.12.13,"1,649.12"
2024.12.12,"1,648.05"
2024.12.11,"1,646.96"
2024.12.10,"1,646.32"
